Jaccard
Opening and cleaning files...
Getting k-grams...
Getting minHashes...
Calculating empirical...
Calculating theoretical...
['hamlet_chapter1', 'hamlet_chapter2', 'hamlet_chapter3', 'hamlet_chapter4', 'hamlet_chapter5', 'kingLear_chapter1', 'kingLear_chapter2', 'kingLear_chapter3', 'kingLear_chapter4', 'kingLear_chapter5', 'othello_chapter1', 'othello_chapter2', 'othello_chapter3', 'othello_chapter4', 'othello_chapter5', 'romeoJuliet_chapter1', 'romeoJuliet_chapter2', 'romeoJuliet_chapter3', 'romeoJuliet_chapter4', 'romeoJuliet_chapter5', 'romeoJuliet_prologue', 'ulysses_chapter1', 'ulysses_chapter2', 'ulysses_chapter3']
Comparison: empirical | theoretical | sanity-check
kingLear_chapter4 vs ulysses_chapter2:  0.01953125 | 0.03373728064166594 | 0.7297297297297297
kingLear_chapter4 vs ulysses_chapter3:  0.04296875 | 0.04700968274105312 | 0.7297297297297297
kingLear_chapter5 vs kingLear_chapter5: 1.0 | 1.0 | 1.0
kingLear_chapter5 vs othello_chapter1:  0.07421875 | 0.08913584534352029 | 1.0
kingLear_chapter5 vs othello_chapter2:  0.09765625 | 0.08726198669419592 | 1.0
kingLear_chapter5 vs othello_chapter3:  0.078125 | 0.09117621640307666 | 1.0
kingLear_chapter5 vs othello_chapter4:  0.0625 | 0.08481361020765574 | 1.0
kingLear_chapter5 vs othello_chapter5:  0.0859375 | 0.08520710059171598 | 1.0
kingLear_chapter5 vs romeoJuliet_chapter1:      0.0625 | 0.07952495907211632 | 0.9
kingLear_chapter5 vs romeoJuliet_chapter2:      0.07421875 | 0.08221808797935545 | 1.0
kingLear_chapter5 vs romeoJuliet_chapter3:      0.08203125 | 0.08597297370782239 | 1.0
kingLear_chapter5 vs romeoJuliet_chapter4:      0.0859375 | 0.07805043027319529 | 0.9
kingLear_chapter5 vs romeoJuliet_chapter5:      0.046875 | 0.07567351970702346 | 0.896551724137931
kingLear_chapter5 vs romeoJuliet_prologue:      0.0 | 0.007862941890941635 | 0.8888888888888888
kingLear_chapter5 vs ulysses_chapter1:  0.03125 | 0.05436817797256626 | 0.7714285714285715
kingLear_chapter5 vs ulysses_chapter2:  0.0078125 | 0.022847630495023613 | 0.7297297297297297
kingLear_chapter5 vs ulysses_chapter3:  0.015625 | 0.033546844483837227 | 0.7297297297297297
othello_chapter1 vs othello_chapter1:   1.0 | 1.0 | 1.0
othello_chapter1 vs othello_chapter2:   0.10546875 | 0.11588730045854687 | 1.0
othello_chapter1 vs othello_chapter3:   0.1015625 | 0.12003350001231618 | 1.0
othello_chapter1 vs othello_chapter4:   0.09375 | 0.11280728536084644 | 1.0
othello_chapter1 vs othello_chapter5:   0.0546875 | 0.0945793337097685 | 1.0
othello_chapter1 vs romeoJuliet_chapter1:       0.09375 | 0.09554215164224118 | 0.9
othello_chapter1 vs romeoJuliet_chapter2:       0.078125 | 0.0931170034302311 | 1.0
othello_chapter1 vs romeoJuliet_chapter3:       0.09375 | 0.09694913689651989 | 1.0
othello_chapter1 vs romeoJuliet_chapter4:       0.0703125 | 0.08150002980981338 | 0.9
othello_chapter1 vs romeoJuliet_chapter5:       0.046875 | 0.08116421461942486 | 0.896551724137931
othello_chapter1 vs romeoJuliet_prologue:       0.0 | 0.007331378299120235 | 0.8888888888888888
othello_chapter1 vs ulysses_chapter1:   0.04296875 | 0.06958924436826014 | 0.7714285714285715
othello_chapter1 vs ulysses_chapter2:   0.01953125 | 0.03395392128239871 | 0.7297297297297297
othello_chapter1 vs ulysses_chapter3:   0.03515625 | 0.05046982710766156 | 0.7297297297297297
othello_chapter2 vs othello_chapter2:   1.0 | 1.0 | 1.0
othello_chapter2 vs othello_chapter3:   0.14453125 | 0.12520905066404328 | 1.0
othello_chapter2 vs othello_chapter4:   0.1015625 | 0.11620771046420142 | 1.0
othello_chapter2 vs othello_chapter5:   0.09375 | 0.10213930909911945 | 1.0
othello_chapter2 vs romeoJuliet_chapter1:       0.1015625 | 0.09378726588257301 | 0.9
othello_chapter2 vs romeoJuliet_chapter2:       0.12109375 | 0.09281965826846071 | 1.0
othello_chapter2 vs romeoJuliet_chapter3:       0.11328125 | 0.09833919095858315 | 1.0
